,CallNumber,Company,Ticker,Date,Call,1-Day,1-Week,1-Month,1-Year,1-DayIndex,1-WeekIndex,1-MonthIndex,1-YearIndex,Sector,Industry,CurrentPrice,HistoricalPrice,Time Since Recommendation,Years Since Recommendation,Total Yield,Annual Yield,Year,Performance
73,228,Wynn Resorts ,WYNN,2021-12-22,Buy,-1.50%,-3.10%,-4.60%,-9.0,0.40%,1.20%,-7%,-17.0,Consumer Cyclical,Resorts & Casinos,94.38,85.87,1074 days,2.940451745379877,9.910329567951544,3.3703425276483254,2021,8.0
74,234,Occidental Petroleum ,OXY,2021-02-12,Positive Mention,-0.80%,0.00%,10.80%,56.0,-0.40%,-1.30%,1%,13.0,Energy,Oil & Gas E&P,50.58,25.39,1387 days,3.7973990417522243,99.21228830248128,26.126379453843757,2021,43.0
75,236,Tapestry ,TPR,2020-04-27,Sell,2.00%,-8.30%,-13.20%,195.0,-1.80%,0.20%,6%,48.0,Consumer Cyclical,Luxury Goods,62.28,15.05,1678 days,4.594113620807666,313.8205980066445,68.30928094274547,2020,147.0
76,237,Lam Research ,LRCX,2018-10-16,Positive Mention,-3.50%,-5.30%,0.60%,64.0,0.00%,-5.40%,-2%,9.0,Technology,Semiconductor Equipment & Materials,73.88,14.53,2237 days,6.12457221081451,408.4652443220922,66.69286119295671,2018,55.0
77,239,Raytheon Technologies ,RTX,2020-06-11,Buy,-0.90%,-0.70%,-9.20%,39.0,-1.30%,1.90%,4%,42.0,Industrials,Aerospace & Defense,121.83,222.0,1633 days,4.470910335386721,-45.12162162162162,-10.09226717531984,2020,-3.0
78,240,Western Digital ,WDC,2017-01-24,Buy,0.30%,-1.10%,-6.70%,13.0,0.40%,-0.80%,3%,26.0,Technology,Computer Hardware,72.99,76.01,2867 days,7.8494182067077345,-3.9731614261281543,-0.5061727279013981,2017,-13.0
79,242,AbbVie ,ABBV,2018-11-01,Negative Mention,-5.50%,11.60%,17.70%,10.0,-1.00%,2.20%,3%,15.0,Healthcare,Drug Manufacturers - General,182.93,80.21,2221 days,6.080766598220397,128.06383243984544,21.060474920600427,2018,-5.0
80,245,Coterra Energy ,CTRA,2022-03-01,Buy,0.40%,-0.20%,6.20%,,1.30%,-2.40%,4%,0.0,Energy,Oil & Gas E&P,26.72,24.36,1005 days,2.751540041067762,9.688013136288996,3.5209420875915978,2022,
81,248,Tesla ,TSLA,2021-01-07,Buy,2.80%,-6.10%,-1.90%,20.0,0.20%,-1.50%,2%,24.0,Consumer Cyclical,Auto Manufacturers,345.16,272.01,1423 days,3.89596167008898,26.892393661997733,6.902633018302651,2021,-4.0
82,254,Micron Technology ,MU,2018-11-12,Negative Mention,-1.50%,-4.30%,-10.10%,23.0,-1.40%,-1.90%,-4%,17.0,Technology,Semiconductors,97.95,37.44,2210 days,6.050650239561944,161.61858974358978,26.710945657848946,2018,6.0
83,255,Micron Technology ,MU,2018-11-13,Negative Mention,-1.50%,-4.30%,-10.10%,23.0,-1.40%,-1.90%,-4%,17.0,Technology,Semiconductors,97.95,37.85,2209 days,6.047912388774812,158.78467635402905,26.25446040665872,2018,6.0
84,258,TJX Companies ,TJX,2018-11-16,Positive Mention,-4.60%,-5.80%,-9.40%,24.0,-1.40%,-0.60%,-5%,18.0,Consumer Cyclical,Apparel Retail,125.69,51.49,2206 days,6.039698836413415,144.1056515828316,23.85974126955088,2018,6.0
85,262,NVIDIA ,NVDA,2021-11-08,Buy,-5.00%,-1.50%,-0.50%,-55.0,-0.40%,0.40%,0%,-19.0,Technology,Semiconductors,138.25,30.8,1118 days,3.060917180013689,348.8636363636364,113.97356277443487,2021,-36.0
86,263,Best +2 ,BBY,2020-05-15,Positive Mention,5.80%,-8.80%,-7.60%,41.0,0.70%,1.40%,4%,43.0,Consumer Cyclical,Specialty Retail,90.0,78.61,1660 days,4.544832306639288,14.489250731459101,3.188071584135806,2020,-2.0
87,275,Deere & Company ,DE,2020-05-15,Negative Mention,4.50%,7.30%,12.70%,182.0,0.70%,1.40%,4%,43.0,Industrials,Farm & Heavy Construction Machinery,465.9,126.01,1660 days,4.544832306639288,269.73256090786447,59.34928787445633,2020,139.0
88,277,Costco ,COST,2020-02-28,Buy,5.00%,-2.30%,-5.80%,11.0,3.60%,-11.30%,-15%,28.0,Consumer Defensive,Discount Stores,971.88,281.14,1737 days,4.75564681724846,245.69253752578788,51.663327191303416,2020,-17.0
89,279,McDonald's ,MCD,2020-11-06,Buy,-6.00%,1.60%,-1.40%,21.0,-2.60%,2.30%,4%,34.0,Consumer Cyclical,Restaurants,296.01,216.56,1485 days,4.0657084188911705,36.68729220539342,9.023591567690199,2020,-13.0
90,280,Micron Technology ,MU,2018-03-12,Buy,-4.40%,2.90%,-11.50%,-35.0,-1.10%,-1.70%,-4%,4.0,Technology,Semiconductors,97.95,59.37,2455 days,6.721423682409308,64.9823143001516,9.6679390216417,2018,-39.0
91,283,Prudential ,PRU,2020-04-28,Negative Mention,1.60%,-16.10%,-3.60%,67.0,0.60%,-3.10%,4%,46.0,Financial Services,Insurance - Life,129.41,60.65,1677 days,4.591375770020534,113.37180544105522,24.69233866269852,2020,21.0
92,284,Boeing ,BA,2020-06-03,Buy,1.70%,-7.80%,2.00%,36.0,0.10%,-3.50%,2%,38.0,Industrials,Aerospace & Defense,155.44,173.16,1641 days,4.492813141683778,-10.233310233310233,-2.277706619571336,2020,-2.0
93,285,Wells Fargo ,WFC,2020-04-16,Sell,0.80%,-5.10%,-8.70%,60.0,0.40%,-1.30%,3%,47.0,Financial Services,Banks - Diversified,76.17,26.89,1689 days,4.6242299794661195,183.26515433246558,39.63149651861045,2020,13.0
94,286,Apple ,AAPL,2017-01-31,Buy,1.40%,2.60%,9.00%,32.0,0.00%,0.70%,5%,26.0,Technology,Consumer Electronics,237.33,30.34,2860 days,7.83025325119781,682.2346736980884,87.12804705182754,2017,6.0
95,287,Caterpillar ,CAT,2017-07-24,Buy,1.10%,-1.30%,0.20%,25.0,-0.10%,0.00%,-1%,17.0,Industrials,Farm & Heavy Construction Machinery,406.11,108.18,2686 days,7.353867214236824,275.402107598447,37.4499701415982,2017,8.0
96,291,Chevron ,CVX,2020-04-01,Positive Mention,6.10%,10.80%,20.10%,45.0,2.70%,10.50%,13%,64.0,Energy,Oil & Gas Integrated,161.93,68.56,1704 days,4.6652977412731005,136.18728121353558,29.19155191504922,2020,-19.0
97,294,Apple ,AAPL,2018-07-31,Buy,1.20%,2.90%,13.40%,5.0,-0.20%,1.60%,3%,7.0,Technology,Consumer Electronics,237.33,47.57,2314 days,6.335386721423682,398.90687408030277,62.96488148566577,2018,-2.0
98,299,Crown Castle ,CCI,2020-07-02,Buy,-2.40%,-1.60%,-5.90%,18.0,0.20%,0.20%,4%,39.0,Real Estate,REIT - Specialty,106.25,170.72,1612 days,4.413415468856948,-37.76358950328022,-8.556545326348077,2020,-21.0
99,306,Edwards Lifesciences ,EW,2019-10-23,Buy,-2.80%,4.20%,6.90%,5.0,-0.20%,1.00%,4%,17.0,Healthcare,Medical Devices,71.35,75.06,1865 days,5.106091718001369,-4.942712496669341,-0.9680030774308188,2019,-12.0
100,307,Apple ,AAPL,2019-04-30,Buy,0.30%,-3.60%,-16.50%,41.0,-1.00%,-1.50%,-6%,2.0,Technology,Consumer Electronics,237.33,50.17,2041 days,5.587953456536619,373.051624476779,66.75997346405856,2019,39.0
101,310,Palo Alto Networks ,PANW,2020-05-21,Buy,-0.90%,-1.10%,-2.10%,53.0,0.30%,3.00%,6%,44.0,Technology,Software - Infrastructure,387.82,76.5,1654 days,4.528405201916495,406.9542483660131,89.86701282689619,2020,9.0
102,312,Tesla ,TSLA,2020-10-21,Buy,-3.60%,-3.50%,22.60%,114.0,0.50%,-4.20%,4%,33.0,Consumer Cyclical,Auto Manufacturers,345.16,140.88,1501 days,4.1095140314852845,145.00283929585467,35.2846682563697,2020,81.0
103,313,Constellation Brands ,STZ,2020-06-30,Positive Mention,1.60%,-1.30%,-4.10%,27.0,0.30%,1.80%,5%,41.0,Consumer Defensive,Beverages - Brewers,240.95,174.95,1614 days,4.418891170431212,37.725064304086885,8.537224124577282,2020,-14.0
104,315,Dexcom ,DXCM,2021-07-29,Buy,8.10%,0.20%,1.20%,-35.0,0.10%,0.90%,3%,-5.0,Healthcare,Medical Devices,77.99,114.01,1220 days,3.3401779603011637,-31.593719849136047,-9.458693585981099,2021,-30.0
105,316,Tesla ,TSLA,2020-04-14,Buy,-1.60%,0.30%,9.50%,406.0,0.10%,0.50%,3%,52.0,Consumer Cyclical,Auto Manufacturers,345.16,47.33,1691 days,4.629705681040384,629.2626241284598,135.91849406441156,2020,354.0
106,321,Tesla ,TSLA,2020-01-21,Positive Mention,-0.40%,2.00%,58.20%,642.0,-0.30%,-1.40%,1%,18.0,Consumer Cyclical,Auto Manufacturers,345.16,36.48,1775 days,4.85968514715948,846.1622807017544,174.11874536693847,2020,624.0
107,322,Intel ,INTC,2018-04-26,Buy,-4.90%,0.70%,5.50%,-1.0,-0.20%,-0.20%,1%,12.0,Technology,Semiconductors,24.05,53.05,2410 days,6.598220396988364,-54.66540999057492,-8.284871783841282,2018,-13.0
